cell_ids,cell_c1_rates,cell_c2_rates,cell_d_rates,cell_t_charges,cell_t1_charges,cell_t2_charges,cell_ocvs,cell_cap_cs,cell_cap_ds,cell_cycles,cell_cap_nets,cell_cap_throughputs,cell_last_caps,cell_sohs,class
PJ097,137.0134379433677,75.35451741892196,120.5396563230134,0.3278605711280961,0.2242800106527283,0.1033022271288144,3.67675982,38.51735273782587,30.73153068206938,1.0,7.785822055756487,69.24888341989525,30.73153068206938,0.7183470445641483,0
PJ097,135.39633534644318,51.29528309466689,41.07947564892726,0.3446677941486187,0.1865816755288203,0.157807785273245,3.75502662,33.35939010582162,42.35912117705698,2.0,-1.2139090154788723,144.96739470277384,42.35912117705698,0.9901410321102994,1
PJ097,85.22295183720429,81.93616878091417,64.92555203094786,0.4611639107929972,0.2500127896527475,0.2108727877936967,3.5943814800000005,38.58676016124981,37.19763775476896,3.0,0.1752133910019786,220.75179261879265,37.19763775476896,0.869491774501704,1
PJ097,134.02324968935645,38.84690919404645,93.94282332726196,0.483603911858842,0.2333111221927942,0.2500144563194943,3.65974692,40.98377036736828,37.0706316028775,4.0,4.08835215549276,298.8061945890384,37.0706316028775,0.8665230159716927,1
PJ097,137.85313589229006,54.49999395627724,121.2926142035096,0.3569155725081347,0.2034983429989856,0.1531388961625958,3.70099512,36.40145955208967,27.04086324563478,5.0,13.448948461947648,362.2485173867629,27.04086324563478,0.6320779916861935,0
PJ097,104.4047200097532,63.44660544773249,114.4401811335969,0.2761350131157087,0.2054316764241472,0.070425003345008,3.78628764,25.91840201273251,27.17828525354205,6.0,12.189065221138108,415.3452046530374,27.17828525354205,0.6352902200082879,0
PJ097,132.50485994401544,93.9818199159828,90.42371700332168,0.1980150094052083,0.1529005628179417,0.0448361132407136,3.7743551,24.4767643437091,30.88663761539091,7.0,5.7791919494562976,470.70860661213743,30.88663761539091,0.7219726565876958,0
PJ097,139.77077394376244,95.58466962892288,106.8589640864589,0.2347133444816164,0.1847955643328724,0.0496394468021915,3.70194028,30.57678419411447,25.44133698879033,8.0,10.914639154780438,526.7267277950423,25.44133698879033,0.5946891947793941,0
PJ097,75.9050821946096,83.53011439905352,137.7156495867873,0.3222983486416825,0.2500133452083294,0.0720066700867997,3.7559481,24.99399587752172,16.58755458709893,9.0,19.32108044520323,568.308278259663,16.58755458709893,0.3877327471078844,0
PJ097,72.60083102870726,62.78148736506092,119.0698280236859,0.2681850127381039,0.246250567251829,0.0216561121397211,3.8149023,19.23965872666223,22.10081969312926,10.0,16.4599194787362,609.6487566794544,22.10081969312926,0.5166048731268559,0
PJ097,118.59598969658272,46.71375468433657,96.76338833306282,0.3140744593621775,0.1329050063126472,0.1808911197029778,3.79762164,24.21511227124212,29.92881311768594,11.0,10.74621863229238,663.7926820683825,29.92881311768594,0.699583586409068,0
PJ097,101.04505254533198,96.22339440087704,66.7510341067177,0.2428133448663473,0.2319911221301001,0.0105438893896947,3.75078124,24.45964974211782,30.84505237136645,12.0,4.360816003043748,719.0973841818668,30.84505237136645,0.7210006048714472,0
PJ097,110.5885314904114,55.18985453154256,70.33623069851495,0.3869439072677373,0.2500127896527473,0.1366527842684363,3.68410054,35.19238565551088,34.76410331097672,13.0,4.789098347577909,789.0538731483543,34.76410331097672,0.8126081036677232,1
PJ097,111.1176714102918,82.44866931390986,80.50061792630375,0.2941000139690007,0.2464822339294995,0.0473394466929474,3.67805148,31.29400364646044,29.32933064114868,14.0,6.753771352889668,849.6772074359635,29.32933064114868,0.6855707319976281,0
PJ097,136.70337266343046,45.33608894751757,125.4939716089363,0.4051811303561832,0.1696138969451168,0.2352889000645109,3.694268740000001,33.85610386843057,18.42618215565975,15.0,22.183693065660492,901.959493460054,18.42618215565975,0.4307105178409396,0
PJ097,124.61915294684168,58.860085709439886,111.6642537141769,0.2099988988633029,0.063910558591144,0.1458100069256023,3.83905094,16.54884615303424,20.95953379521737,16.0,17.77300542347736,939.4678734083054,20.95953379521737,0.4899274075541407,0
PJ097,119.89210773517692,79.79065146659902,115.808268181043,0.1774827862077572,0.0991966713782555,0.0780077814829482,3.79807848,18.1207331446004,21.3467247457832,17.0,14.547013822294565,978.935331298689,21.3467247457832,0.4989779647131184,0
PJ097,108.0640110728629,97.62124029485716,124.0420813733319,0.181306675278271,0.1626700077264104,0.0183583342053076,3.773205119999999,19.37347231109863,16.74650186710331,18.0,17.173984266289885,1015.0553054768908,16.74650186710331,0.3914481269245908,0
PJ097,81.09531825939217,69.22657916697938,131.9889335807156,0.2504377896729334,0.2248450106795639,0.025314445646814,3.7968813,19.98809720091371,15.66136700100453,19.0,21.500714466199064,1050.704769678809,15.66136700100453,0.3660831871798101,0
PJ097,92.55329933582314,39.151555846408414,123.8140704893865,0.3213872374872972,0.1368272287211665,0.1842816754195751,3.832994100000001,19.88052938087538,19.40531306180597,20.0,21.97593078526847,1089.9906121214904,19.40531306180597,0.4535976235939223,0
PJ097,121.79056858761538,66.34587243319973,93.17760153133266,0.1803583418998943,0.0685672254789905,0.1115127830743503,3.83555394,15.75162614896879,26.3248860575731,21.0,11.402670876664164,1132.0671243280322,26.3248860575731,0.6153420828133059,0
PJ097,110.66079896157376,86.72318864029224,41.60477913654993,0.2228822328085594,0.1804644530160453,0.0421394464459606,3.73795078,23.62748443025918,30.64219125427377,22.0,4.387964052649576,1186.3368000125652,30.64219125427377,0.7162587426639285,0
