Cell,capacity,start_cycle
PJ121,42.65,2
PJ129,43.75,2
PJ122,42.67,2
PJ130,43.46,2
PJ125,43.17,2
PJ131,42.29,2
PJ126,40.38,2
PJ132,41.57,2
PJ123,42.84,2
PJ133,42.81,2
PJ124,41.66,2
PJ134,41.93,2
PJ127,40.5,2
PJ135,43.17,2
PJ128,43.57,2
PJ136,41.99,2
