cell_ids,cell_c1_rates,cell_c2_rates,cell_d_rates,cell_t_charges,cell_t1_charges,cell_t2_charges,cell_ocvs,cell_cap_cs,cell_cap_ds,cell_cycles,cell_cap_nets,cell_cap_throughputs,cell_last_caps,cell_sohs
PJ121,,,,,,,,,,,0.0,0.0,42.64621892720113,1.0
PJ121,119.37197806450044,82.77518343373788,52.53470492508453,0.36260279500048576,0.250009456319256,0.11231500533467643,3.66248784,39.14419488695498,39.06411408925208,1.0,0.08008079770289811,78.20830897620706,39.06411408925208,0.9160041633687653
PJ121,131.28937929115986,37.243141219511735,52.53446821550104,0.5003005793185569,0.2500116785415836,0.2500105674304197,3.6243114,42.1373303574041,41.54500456574841,2.0,0.6724065893585944,161.8906438993596,41.54500456574841,0.97417791332609
PJ121,75.98526759233035,89.12310349829431,52.53237819637424,0.4638400220312168,0.25001334520832796,0.21354834347633642,3.6235709799999993,38.03142431478808,37.78393736985386,3.0,0.9198935342928181,237.70600558400153,37.78393736985386,0.8859856353115996
PJ121,71.76827165645248,78.80777574595469,52.53584844920014,0.5003044682076334,0.2500122340971676,0.2500139007639104,3.62730442,37.64778517976897,37.5049541489678,4.0,1.062724565093987,312.8587449127383,37.5049541489678,0.8794438309522894
PJ121,112.1214863659401,71.6996058200662,52.52484632112164,0.40551446370534716,0.25000945631925575,0.15522667403953777,3.6356297599999996,39.16406683857635,38.86398582816338,5.0,1.362805575506961,390.88679757947807,38.86398582816338,0.9113114082752757
PJ121,83.77964807262912,98.89930410229456,52.52078452321886,0.402286685774258,0.25000834520809195,0.1520000072196126,3.622303,35.98149397714592,35.741383258181,6.0,1.602916294471875,462.609674814805,35.741383258181,0.8380903197817614
PJ121,136.02722487479065,95.4454090113287,52.52070561239497,0.2795750132791025,0.2300050109246528,0.04929166900789723,3.62290944,35.99529630890627,35.08364639450117,7.0,2.514566208876971,533.6886175182124,35.08364639450117,0.8226672206131665
PJ121,76.98271736562475,64.6073278390177,52.52993334175405,0.5002961348738992,0.25000834520809095,0.25000945631925586,3.6293129399999997,35.4012534023984,35.41739634774753,8.0,2.4984232635278474,604.5072672683583,35.41739634774753,0.8304932357123265
PJ121,91.56947899211836,70.86065059331942,52.51561872146227,0.44958502135414163,0.2500133452083294,0.19929334279925867,3.6368819799999996,37.01747799660822,37.02695630292811,9.0,2.4889449572079556,678.5517015678946,37.02695630292811,0.8682353848563847
PJ121,133.50958750207784,65.97219036133741,52.53411334186068,0.3407016828491275,0.23048612205861396,0.10993722744396008,3.6207828399999995,38.02730111964453,37.33507222874009,10.0,3.181173848112394,753.9140749162792,37.33507222874009,0.8754603143709553
PJ121,90.57466791682403,84.84118735348808,52.52326890573025,0.39615057437169726,0.2500139007639114,0.14585834026123343,3.6112131599999997,35.02166466768839,34.9167644810751,11.0,3.2860740347256865,823.8525040650427,34.9167644810751,0.8187540504043153
PJ121,138.3209466053562,60.69657774985687,52.52930229167415,0.3477744609628472,0.21470778797585,0.13278833964044173,3.60492,37.76161266956863,36.93200866768137,12.0,4.115678036612941,898.5461254022927,36.93200866768137,0.8660089826656343
PJ121,87.51637178431353,102.72105453011828,52.53494145156256,0.3477583498509679,0.2500111229860016,0.09746889351841276,3.6421197999999997,31.89463725449285,32.1357239937062,13.0,3.87459129739959,962.5764866504917,32.1357239937062,0.7535421615820904
PJ121,109.14455475675409,74.97407965268225,52.52547718046667,0.35990501709457023,0.25001334520832946,0.10961333853968755,3.5903881600000007,35.50796226172872,35.09517613178465,14.0,4.287377427343664,1033.179625044005,35.09517613178465,0.8229375783980655
PJ121,70.85660469856293,38.84839200969597,52.52961779764061,0.5003061348743773,0.2500105674304192,0.25001723409740256,3.5917350799999994,27.42906540275966,27.49985862486347,15.0,4.2165842052398546,1088.1085490716282,27.49985862486347,0.6448369707008931
PJ121,80.5669540478422,38.553002289587305,52.53446829942438,0.5003044682076304,0.25001334520832846,0.25001278965274754,3.5908766,29.78294005047458,29.7368851815401,16.0,4.262639074174334,1147.6283743036429,29.7368851815401,0.6972924195765678
PJ121,85.15099832394549,52.74891721496711,52.52192810836962,0.5003044682076304,0.2500133452083296,0.25001278965274754,3.6284700800000005,34.47847151999829,34.59541260534214,17.0,4.145697988830481,1216.7022584289832,34.59541260534214,0.8112187545723092
PJ121,131.21319851872275,38.397331422704866,52.5264235000018,0.46611946658392955,0.21582889914021103,0.25001223409716505,3.60000522,37.92162858692362,37.36275347483701,18.0,4.7045731009170915,1291.9866404907439,37.36275347483701,0.876109404648904
PJ121,76.98317832024486,38.626832282359864,52.5227562180715,0.500304468207631,0.25001278965274754,0.25001334520832796,3.6019033800000004,28.90544184044729,29.00295462891379,19.0,4.607060312450589,1349.895036960105,29.00295462891379,0.6800826745841886
PJ121,118.3847822895927,43.81093319385197,52.52610826869353,0.43545613179416653,0.24939723406795566,0.18578056437966048,3.59723272,37.66523693229806,37.23095645607613,20.0,5.0413407886725174,1424.7912303484793,37.23095645607613,0.873018930931038
PJ121,133.8921503909412,93.00921827393394,52.52669963066496,0.25724112332940824,0.20605612089825134,0.05090666908460359,3.60517994,32.32714459496489,31.60647770211666,21.0,5.76200768152075,1488.7248526455608,31.60647770211666,0.741132004130782
PJ121,124.17823805532835,85.5841270716366,52.53470485641999,0.2756039019793712,0.22425223287363122,0.051073335759186496,3.58871054,32.22148682655152,31.4059141606717,22.0,6.57758034740057,1552.352253632784,31.4059141606717,0.7364290422624078
