cell_ids,cell_c1_rates,cell_c2_rates,cell_d_rates,cell_t_charges,cell_t1_charges,cell_t2_charges,cell_ocvs,cell_cap_cs,cell_cap_ds,cell_cycles,cell_cap_nets,cell_cap_throughputs,cell_last_caps,cell_sohs
PJ097,,,,,,,,,,,0.0,0.0,42.78089666355557,1.0
PJ097,137.0134379433677,75.35451741892196,120.5396563230134,0.32786057112809613,0.22428001065272837,0.10330222712881443,3.6767598199999996,38.51735273782587,30.73153068206938,1.0,7.785822055756487,69.24888341989525,30.73153068206938,0.7183470445641483
PJ097,135.39633534644318,51.29528309466689,41.07947564892726,0.34466779414861876,0.1865816755288203,0.15780778527324502,3.7550266199999998,33.35939010582162,42.35912117705698,2.0,-1.2139090154788725,144.96739470277384,42.35912117705698,0.9901410321102994
PJ097,85.22295183720429,81.93616878091417,64.92555203094786,0.46116391079299723,0.25001278965274754,0.21087278779369675,3.5943814800000005,38.58676016124981,37.19763775476896,3.0,0.17521339100197864,220.75179261879262,37.19763775476896,0.869491774501704
PJ097,134.02324968935645,38.84690919404645,93.94282332726196,0.48360391185884205,0.23331112219279426,0.25001445631949437,3.65974692,40.98377036736828,37.0706316028775,4.0,4.08835215549276,298.8061945890384,37.0706316028775,0.8665230159716927
PJ097,137.85313589229006,54.49999395627724,121.2926142035096,0.3569155725081347,0.2034983429989856,0.1531388961625958,3.7009951200000004,36.40145955208967,27.04086324563478,5.0,13.448948461947648,362.24851738676284,27.04086324563478,0.6320779916861935
PJ097,104.4047200097532,63.44660544773249,114.4401811335969,0.2761350131157087,0.20543167642414725,0.07042500334500801,3.78628764,25.91840201273251,27.17828525354205,6.0,12.189065221138108,415.3452046530374,27.17828525354205,0.6352902200082879
PJ097,132.50485994401544,93.98181991598281,90.42371700332168,0.19801500940520833,0.15290056281794173,0.04483611324071363,3.7743550999999997,24.4767643437091,30.88663761539091,7.0,5.7791919494562976,470.70860661213743,30.88663761539091,0.7219726565876958
PJ097,139.77077394376244,95.58466962892287,106.8589640864589,0.23471334448161643,0.18479556433287245,0.04963944680219154,3.70194028,30.57678419411447,25.44133698879033,8.0,10.914639154780438,526.7267277950423,25.44133698879033,0.5946891947793941
PJ097,75.9050821946096,83.53011439905352,137.7156495867873,0.32229834864168255,0.25001334520832946,0.07200667008679974,3.7559481,24.99399587752172,16.58755458709893,9.0,19.32108044520323,568.308278259663,16.58755458709893,0.3877327471078844
PJ097,72.60083102870726,62.78148736506092,119.0698280236859,0.26818501273810397,0.24625056725182906,0.021656112139721195,3.8149023,19.23965872666223,22.10081969312926,10.0,16.4599194787362,609.6487566794544,22.10081969312926,0.5166048731268559
PJ097,118.59598969658272,46.71375468433657,96.76338833306282,0.31407445936217754,0.13290500631264726,0.18089111970297786,3.79762164,24.21511227124212,29.92881311768594,11.0,10.74621863229238,663.7926820683825,29.92881311768594,0.699583586409068
PJ097,101.04505254533198,96.22339440087705,66.7510341067177,0.2428133448663473,0.23199112213010015,0.010543889389694716,3.75078124,24.45964974211782,30.84505237136645,12.0,4.360816003043748,719.0973841818668,30.84505237136645,0.7210006048714472
PJ097,110.58853149041141,55.18985453154256,70.33623069851495,0.38694390726773736,0.25001278965274737,0.13665278426843638,3.68410054,35.19238565551088,34.76410331097672,13.0,4.789098347577909,789.0538731483543,34.76410331097672,0.8126081036677232
PJ097,111.1176714102918,82.44866931390986,80.50061792630375,0.2941000139690007,0.24648223392949958,0.0473394466929474,3.6780514799999997,31.29400364646044,29.32933064114868,14.0,6.753771352889668,849.6772074359635,29.32933064114868,0.6855707319976281
PJ097,136.70337266343046,45.33608894751757,125.4939716089363,0.40518113035618325,0.16961389694511683,0.23528890006451092,3.6942687400000005,33.85610386843057,18.42618215565975,15.0,22.183693065660492,901.9594934600539,18.42618215565975,0.43071051784093967
PJ097,124.61915294684168,58.860085709439886,111.6642537141769,0.20999889886330292,0.06391055859114406,0.14581000692560236,3.83905094,16.54884615303424,20.95953379521737,16.0,17.77300542347736,939.4678734083054,20.95953379521737,0.48992740755414077
PJ097,119.89210773517692,79.79065146659902,115.808268181043,0.17748278620775726,0.09919667137825551,0.07800778148294828,3.79807848,18.1207331446004,21.3467247457832,17.0,14.547013822294563,978.935331298689,21.3467247457832,0.49897796471311845
PJ097,108.0640110728629,97.62124029485715,124.0420813733319,0.181306675278271,0.1626700077264104,0.01835833420530763,3.773205119999999,19.37347231109863,16.74650186710331,18.0,17.173984266289885,1015.0553054768909,16.74650186710331,0.39144812692459086
PJ097,81.09531825939217,69.22657916697938,131.9889335807156,0.25043778967293345,0.22484501067956394,0.025314445646814017,3.7968813,19.98809720091371,15.66136700100453,19.0,21.500714466199064,1050.704769678809,15.66136700100453,0.36608318717981014
PJ097,92.55329933582314,39.151555846408414,123.8140704893865,0.3213872374872972,0.13682722872116654,0.18428167541957516,3.8329941000000005,19.88052938087538,19.40531306180597,20.0,21.975930785268474,1089.9906121214904,19.40531306180597,0.45359762359392236
PJ097,121.79056858761538,66.34587243319973,93.17760153133266,0.18035834189989433,0.06856722547899055,0.11151278307435038,3.8355539399999996,15.75162614896879,26.3248860575731,21.0,11.402670876664164,1132.0671243280322,26.3248860575731,0.6153420828133059
PJ097,110.66079896157375,86.72318864029224,41.60477913654993,0.22288223280855946,0.18046445301604536,0.042139446445960654,3.73795078,23.62748443025918,30.64219125427377,22.0,4.387964052649576,1186.3368000125652,30.64219125427377,0.7162587426639285
